nama_pemilik_perusahaan,alamat_pemilik_perusahaan,telepon,npwp_perusahaan,direktur_perusahaan,mitra,jenis,no_spbu,mulai_beroperasi,kode_spbu,wilayah_spbu,alamat_spbu,kelurahan_spbu,kecamatan_spbu,izin_terakhir,tanggal_izin,berlaku_sampai,keterangan
NY. R. SITANGGANG,,,,,Pertamina,SPBU,31-10201,,,Jakarta Pusat,"Jl. Petamburan, Jakarta Pusat ",,,,,,Tidak Beroperasi
PT. PERTAMINA RETAIL,"Wisma Tugu Wahid Hasyim Jl. Wahid Hasyim No.100-102, Kebon Sirih, Menteng, Jakarta Pusat 10340","(021) 3926772, (021) 3926788",01.846.891.8-051.000,Toharso,Pertamina,SPBU,31-10202,,JP/160/2008/I,Jakarta Pusat,"Jl. Abdul Muis No. 68,Petojo Selatan, Gambir, Jakarta Pusat 10130",Petojo Selatan,Gambir,64/2014,2/06/2014,,PJ/Selama Masih Beroperasi
PT. PERTAMINA RETAIL,"Wisma Tugu Wahid Hasyim Jl. Wahid Hasyim No.100-102, Kebon Sirih, Menteng, Jakarta Pusat 10340","(021) 3926772, (021) 3926788",01.846.891.8-051.000,Toharso,Pertamina,SPBU,31-10303,,JP/236/2008/I,Jakarta Pusat,"Jl. Cikini Raya No. 113-115 RT010/RW04,Cikini, Menteng, Jakarta Pusat 10330",Cikini,Menteng,65/2014,2/06/2014,,PJ/Selama Masih Beroperasi
PT. PERTAMINA RETAIL,"Wisma Tugu Wahid Hasyim Jl. Wahid Hasyim No.100-102, Kebon Sirih, Menteng, Jakarta Pusat 10340","(021) 3926772, (021) 3926788",,,Pertamina,SPBU,31-10701,,JP/187/2008/II/P,Jakarta Pusat,"Jl. Industri Raya No. 1, Gunung Sahari Utara, Sawah Besar, Jakarta Pusat 10720",Gunung Sahari Utara,Sawah Besar,406/2008,23/06/2008,23/06/2010,Expired
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3815064, (021) 3503967",01.001.664.0-051.000,,Pertamina,SPBU,31-10702,2011,JP/306/2011/I,Jakarta Pusat,"Jl. H. Samanhudi No. 20, Pasar Baru, Sawah Besar, Jakarta Pusat 10710",Pasar Baru,Sawah Besar,79/2011,18/05/2011,18/05/2016,Baru
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3815064, (021) 3503967",01.001.664.0-051.000,,Pertamina,SPBU,31-10703,2011,JP/313/2011/I,Jakarta Pusat,"Jl. Mangga Besar Raya No. 140, Kartini, Sawah Besar, Jakarta Pusat 10750",Kartini,Sawah Besar,129/2011,28/10/2011,,BR/Selama Masih Beroperasi
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3815064, (021) 3503967",01.001.664.0-051.000,,Pertamina,SPBU,31-11403,,JB/290/2010/II,Jakarta Barat,"Jl. Daan Mogot Kav. 2 RT007/RW04, Jelambar, Grogol Petamburan, Jakarta Barat 11460",Jelambar,Grogol Petamburan,92/2010,13/08/2010,13/08/2015,Baru
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3814821, (021) 3518385",01.001.664.0-051.000,,Pertamina,SPBU,31-11404,,JB/303/2011/I,Jakarta Barat,"Jl. Tomang Raya No. 42, Jati Pulo, Palmerah, Jakarta Barat 11430",Jati Pulo,Palmerah,43/2011,4/04/2011,4/04/2016,Baru
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3815064, (021) 3503967",01.001.664.0-051.000,Ir. Isriyanto,Pertamina,SPBU,31-11802,,JB/359/2014/I,Jakarta Barat,"Jl. Daan Mogot Km. 16 RT001/RW01, Kalideres, Kalideres, Jakarta Barat 11840",Kalideres,Kalideres,41/2014,8/04/2014,,Baru/Selama Masih Beroperasi
NY. SUTATI SUDIGDO,,,,,Pertamina,SPBU,31-12201,,,Jakarta Selatan,"Jl. Raya Ciputat , Pasar Jumat, Jakarta Selatan ",Pasar Jumat,,,,,Belum Urus Izin
